아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용
dT1sVeum,,24.08.01,오트밀,FREE,생각보다 커요,아주 만족해요,화면과 비슷해요,158cm,60kg,상의 66,"역시 후기가 많은데는 이유가 있습니다
실물이 훨 이뻐요
다릉 리뷰들처럼 목부분이 엄청 짱짱하진 않아도 그렇게 퀄떨어지는건 아니에요 아래, 손목 시보리도 짱짱해요
어깨라인때문인지 말라보이고 자수도 고급져요
흰티빼서입던 말아입던 둘다 이쁘고
158에 60이라서 작으면어쩌지?햇늨데 여유있어요!
아주 강추 좋은 소비엿습니당🤭"
krSUi6XJ,상위 15%,24.12.12,오트밀,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,167cm,52kg,,"역시 직진배송 빨라요 넘 좋🩶 내일 바로 입고 나갈 생각!!
색감이 아이보리끼가 많이 섞인 오트밀색상이라 너무 이쁘구 자주 손이 가게 될 것 같은 맨투맨이에요.
𖤐𖤐
😸 팔길이가 길게 나와서 좋아요 !
😿 목,손목 시보리 잘 늘어날 것 같아요ㅠ"
QmJszRzY,,24.11.26,오트밀,FREE,생각보다 커요,보통이에요,화면과 비슷해요,,,,생각했던 재질은 아니긴 해요. 좀 얇은 편인 것 같아요. 색깔도 베이지 쪽에 가까울 줄 알았는데 더 연한 느낌이고. 좀 두툼했으면 좋았을텐데 좀 아쉽네요. 그냥 가볍게 편하게 입기에는 좋아요.
KUsuDaUp,상위 15%,24.11.16,오트밀,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,164cm,59kg,상의 66,"일단 제가 웜톤이라 그런지 색상이 넘 맘에 들어요!!!
베이지 멜란지? 라고 하면 딱인것같은데
저한테 넘 잘맞아요
그리고 자수로 박힌 영문도 맘에 들고
적당히 넉넉한 핏도 땡큐네요!!!
너무 잘샀어요!!!"
msyr***,상위 5%,24.11.09,오트밀,FREE,생각보다 커요,보통이에요,화면과 비슷해요,166cm,48kg,상의 55,"제 체형에 비해서 기대보다 살짝 크긴한데, 어차피 맨투맨은 넉넉한게 좋아서 괜찮아요. 허리닫 시보리가 살짝 널널해서 그건 약간 아쉽네요^^; 색감은 화면과 비슷하고, 안감은 까끌까끌한 소재라 전 이너티랑 같이 입으려구요. 입어보고 괜찮으면 다른색도 고려해볼게요^^"
우뇽,상위 5%,24.10.22,오트밀,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,162cm,55kg,상의 55,"모델착샷이랑 똑같아요~
크기도 넉넉하고 마감도 깔끔하게 됐어요
색감도 사진이랑 똑같습니당 이뻐요!
아쉬운건 옷 안에 안감에서 나오는건진 모르겠는데 가루.?? 먼지가 나와서 바지를 더럽혔어용ㅜㅜ
꼭 새탁하고 입어야 할 거 같아요~~~"
gelati,상위 5%,24.10.18,오트밀,FREE,생각보다 커요,아주 만족해요,화면과 비슷해요,160cm,58kg,상의 55,"배송이 빨라서 좋았네요 ㅎㅎ 옷이 폼이 크고 편안해요~ 부들부들하고 촉감도 좋고 적당히 얇은 두께감이 지금 날씨에 입고 다니기 딱이에요. 디자인도 무난하니 한철 휘뚜루마뚜루 입고다니기에 굿. 청바지, 청치마랑 잘 어울립니당. 캐주얼하고 귀엽습니다. 아주 마음에 들어요 ㅎㅎ 산책할 때나 가볍게 친구들 만날 때 자주 입고 다닐 것 같습니다~👍🤍"
kime****,상위 5%,24.10.17,오트밀,FREE,생각보다 커요,아주 만족해요,화면과 비슷해요,171cm,60kg,상의 66,"52세 키170 몸무게 60입니다.
나이살과 큰 키로 인해 맞는 옷 또는 예쁜 옷, 편안한 옷 찾기가 쉽지 않았는데요.
옷이 편하고 예뻐서 너무 좋으네요.
소재도 괜찮은 것 같아, 간절기 편하게 입을 수 있을 것 같습니다.
옷이 예뻐서 20대 딸이 빌려달라고 하네요.
잘 입겠습니다.^^"
lyb0***,상위 10%,24.11.01,오트밀,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,158cm,58kg,상의 66,한 어깨 하는 사람으로써 어깨라인 너무 맘에 들고요!! (옷 잘못 사면 완전 어깡 되는데 이 옷은 어깡 걱정은 없습니당) 그리고 핏이 생각보다 더 루즈핏이여서 편하게 후뚜루마뚜루 입을 수 있을 것 같아요~
zUgPEkjf,상위 20%,24.10.24,오트밀,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,152cm,46kg,상의 55,"손목 시보리?가 많이 쪼이지 않아서 좋았어요! 
가끔 너무 조여서 손목시계하기에 불편하고 위로 올리기엔 추웠는데 좀 여유 있는 편이라 좋더라구요.
가을에 입기 좋은거같아요 기모가 없고 얇은 편이라 좀 더 추워지면 이너티입어야합니다~"
GfEVW0fi,탑리뷰어,24.10.16,오트밀,FREE,생각보다 커요,아주 만족해요,화면과 비슷해요,173cm,55kg,상의 66,"생각보다 얇아서 지금은 못 입을 것 같았는데 실제로 입으니까 많이 안 춥네요. 겨울에도 내복 입으면 충분히 입을 수 있을 것 같아요.
사이즈가 조금 크지만 옷이 넘 예뻐요. 그리고 밑에 시보리가 짱짱해서 접어서 입을 수 있어서 좋아요!"
