아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용
,,,,,,,,,,,
수박이이,탑리뷰어,24.11.21,그레이,,정사이즈예요,아주 만족해요,화면과 비슷해요,157cm,45kg,상의 44,"부담스럽지 않고 예쁘게 입고싶은 이너티를 찾는다면 딱이에요! 면티가 너무 달라붙어서 몸매가 너무 잘보이면 부담스러운데, 요건 적당히 달라붙어서 예뻐요. 또 골지로 되어 있어서 그런지 탄탄한 느낌도 있고, 많이 늘어나지 않는 것 같아요! 넥라인도 마감이 잘되어있어서 몇 번이나 입고 빨았는데 그대로랍니다 😊 특히 절개라인이 포인트라서 가디건이나 자켓 안에 입으면 너무 예뻐요 💓 내년 봄이나 가을에 또 구매할까 고민중이에요!"
r2nMrcF8,상위 5%,24.04.10,아이보리,,정사이즈예요,보통이에요,화면과 비슷해요,170cm,55kg,상의 55,"1. 배송: 4월 4일 주문-4월 8일 우체국 배송 시작-4월 9일 오전 10시 도착

2. 색감: 딱 아이보리입니다 이거 하얀색 아냐? 싶지만 흰티랑 비교하면 아 아이보리구나 싶은 

3. 재질: 골지 재질이고 얇습니다 이너로 딱일 듯 

4. 핏: 우선 통짜허리에 팔뚝살 많은 사람의 현실적인 핏임을 알립니다...
개인적인 장점으로는 소매가 길어요, 저는 키가 큰 만큼 팔도 길어서 옷을 사면 팔이 짧았던 경우가 종종 있는데 이 옷은 당기면 손등까지 내려와서 좋습니다! 
상체가 마른 분이 입으면 예쁠 것 같아요... 다이어트 다짐을 하게 해주는 옷이었습니다... 입고 넥라인을 잘 조절해줘야 해요 내복 같은 느낌도 없진 않구요 (달라붙어서인 듯) 암튼 나쁘지 않았습니다"
3k9wDbu3,상위 5%,25.01.11,아이보리,,정사이즈예요,보통이에요,화면과 비슷해요,164cm,54kg,상의 55,이너로 입기 좋은 슬림 긴팔티 같아요. 슬앤은 믿고 사는 브랜드이기 때문에 이너는 큰 고민 없이 슬앤꺼로 구매했어요! 디자인 뿐만 아니라 재질도 좋아서 만족스럽습니다. 절개트임이나 뒤에 등부분도 세심하게 신경쓴게 느껴지네요
h1UMHFyF,상위 15%,24.12.22,그레이,,정사이즈예요,보통이에요,화면과 비슷해요,171cm,57kg,상의 55,"생각보다 부들부들해서 좋으나 상체 살 있는 사람이라면 부해보일 수 밖에 없음 ㅠㅠ
하지만 옆 트임 덕분에 조금이나마 말라보여서 좋음
등쪽 절개디자인도 독특해서 맘에 들음 
기본이너티로 깔별로 쟁여놓고 싶음"
이삼육,상위 5%,24.12.13,라벤더핑크,,정사이즈예요,아주 만족해요,화면과 비슷해요,158cm,49kg,상의 44,"• 소재: 쫀쫀한 골덴! 보온성은 없지만 겨울에 이너로 입으면 좋을듯

• 색감: 평소에 컬러감 있는 옷은 잘 안 입는데 부담스럽지 않은 핑크여서 조아요 오트밀이나 브라운 니트 안에 레이어드해서 입음 이뻐요

• 핏: 생각보다 몸에 딱 달라붙어서 가디건이나 니트랑 같이 입어야겠지만 슬림해보여서 좋아요 넣입 안 해도 적당한 길이가 굿.. 밑부분 절개도 이쁜데 특히 등부분 절개포인트가 쉐입을 더 잘 잡아줌!"
밍쏠쏠,상위 1%,24.12.13,워터리민트,,정사이즈예요,아주 만족해요,화면과 비슷해요,158cm,61kg,상의 55,"30대 직장인 / 158cm / 61kg
온라인쇼핑 매번 눈팅만하고, 리뷰 엄청보는 타입

우선 1개 사보고 더 사려고
색상고민하다 직진배송되는 워터리민트 주문!

고민은..택배만 늦출뿐.. 언능 사세요^^;

살이쪄서 여리핏은 아니지만 쫀쫀한 옷감
느낌도 좋구요 오른쪽 절개 포인트도 이뻐요

특히나 워터리민트 색감 너무 이쁘구용
같이 산 니트에 이너로도 매치하니 괜찮네요!

아이보리랑 검정 추가 구매 예정이구요
봄엔 간단한 재킷 안에 
가을엔 가디건이나 니트 베스트에,
겨울엔 이너로 입으면
여름 빼고 휘뚜루마뚜루 활용에 딱 좋은듯!

진짜 살빼서 이 티만 단독으로 입어보고싶네욧..!"
이상한옷장의엘리수,상위 1%,24.11.28,아이보리,,정사이즈예요,아주 만족해요,화면과 비슷해요,167cm,49kg,상의 55,"소재 4.5/5 부드럽고 몸에 착 감기는 느낌이에요
디자인 5/5 트임이 있어서 포인트주기 좋아요
핏 5/5 슬림핏이라 몸선이 드러나요
색상 5/5 노란끼 섞이지 않은 흰색이에요

같은 제품 민트컬러를 잘 입고 있어서 흰티 필요한 김에 시켜봤습니다. 아래쪽에 트임이 있어서 기본티지만 조금 더 포인트가 되는 느낌이에요! 가디건을 자주 입어서 몸에 딱 달라붙는 핏을 선호하는데 이 티셔츠가 딱 그래요 그래서 핏이 정말 만족스럽습니다! 이름처럼 -3kg는 되어보이는 핏이에요"
유하츄핑,상위 10%,24.11.27,아이보리,,정사이즈예요,아주 만족해요,화면과 비슷해요,155cm,45kg,상의 44,"기본티가 필요해서 깔별로 3장이나 싰는데 핏 너무 맘에 들어요~~! 상체 마른편인데도 사이즈 딱 붙어서 통통하신 분들은 약간 작으실 수도 있을 것 같아요 
다른 티셔츠 사면 헐렁거려서 맘에 드는 핏이 없었는데 이건 제 몸에 딱 맞아서 너무 만족입니당~~ 
두께는 생각보다 얇아서 한겨울엔 힘들 것 같고 봄, 가을에 휘뚜루마뚜루 잘 입을 것 같아요 아이보리는
진한색 속옷 입으면 약간 비쳐서 스킨톤 속옷이랑 입어야 될듯해요 그리고 옆에 트임이 은근 포인트되고 넘 예뻐요.."
D78iDybo,상위 20%,24.11.24,그레이,,정사이즈예요,아주 만족해요,화면과 비슷해요,163cm,49kg,상의 55,몸에 잘 붙는데 답답하지 않고 편안하면서 촉감도 엄청 부드러워요. 넥라인이 적당한 라운드라 아주 만족해요. 그리고 아래 절개부위가 포인트가 되어서 단독으로 입는게 더욱 예뻐서 단독으로만 입고 다닙니다🫶🏻 소매도 살짝 손등까지 내려와서 너무 좋아요.
