아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용
,,,,,,,,,,,
dotoring,상위 5%,24.11.27,Ivory,Free,정사이즈예요,아주 만족해요,화면과 비슷해요,152cm,45kg,상의 44,"쫀쫀하고 좋네요 이거 한겹 더 입었다고 훨씬 따뜻해요
목이 많이 조이긴 하는데 입다보면 늘어날테니 헐렁한것보다 훨씬 좋습니다!
요즘 살 많이 쪘는데 엄청 날씬하게 보이게 해주네요 
☞☜"
망미,상위 10%,24.11.26,Light Blue,Free,정사이즈예요,아주 만족해요,화면과 비슷해요,166cm,54kg,상의 55,"가을 겨울 맞아 깔별로 산 폴라티셔츠에용
부드럽고 감기는 핏감이 좋아서 상체 라인도 이쁘게 잡히고 여성스러워서 요즘 이너로 폴라티 돌려서 입고 있습니다 ! 가격이랑 컬러랑 여러곳 비교하다가 여기서 구매했는데 넘 값진 소비👍🏽"
OFlsbU1z,상위 5%,24.11.18,Dark Gray,Free,정사이즈예요,아주 만족해요,화면과 비슷해요,160cm,50kg,상의 55,가격이 저렴해서 크게 기대안했는데 이거 뭐에요.. 목 완전 쫀쫀하게 잡아줘서 진짜 맘에 들어요. 전체적으로 바디에 착 감겨서 이너로 딱 좋아요. 소재도 부드러워요. 겨울 가디건 안에 이너티로 입으려고 구매했는데 보온성도 좋아요. 배송도 빠르고 다른 컬러도 구매 예정입니다.
kitty,탑리뷰어,25.01.13,Lemon Cream,Free,정사이즈예요,보통이에요,화면과 비슷해요,168cm,48kg,상의 55,"꺅 진짜 레몬크림 같은 색상이 넘 예뻐요 전에 이거 라이트블루 색상 샀다가 예상했던 색상이 아니라서 반품했었는데, 레몬크림은 비슷하네요 특히 데님이랑 넘 잘 어울리는 적당히 노란 색상이에요🍋
옷이 엄청 쫀쫀해서 목부분도 안 늘어날 거 같아서 좋아요!!"
EAtKI2Zv,상위 10%,25.01.10,Ivory,Free,작아요,아주 만족해요,화면과 비슷해요,158cm,50kg,상의 44,"사진으로 보시다시피 ㅎㅎ 딱 붙는 재질입니다. 스판력이 좋고 재질은 얇은 편이에요~ 촉감은 부드럽고 좋습니다. 
훌렁한 목폴라를 원하는 분들께는 비추지만, 저는 원래 딱 붙고+폴라가 길고(반 접든 그냥 올리든 연출하기 좋은)+ 스판력이 좋은 목폴라를 찾았어서 이 가격에 만족합니다~"
iFwnCwD1,상위 5%,25.01.10,Black,Free,정사이즈예요,아주 만족해요,화면과 비슷해요,158cm,45kg,상의 55,"요즘 기본템들도 죄다 비싼데 .. 이거 뭐에요 ..? 
싼게 비지떡이라고 살까말까 하다가 몇번립고 버리자 싶어 산건데 너무 맘에 들어요 
길이도 딱 좋고 목도 너무 조이지 않구요 얄ㅈ은것 같으면서도 너무 따숩구요 목 길이감도 좋아요 !!! 
깔별로 쟁이는거 츄천드립니다 정말 ... 
최고에요 >.<🫰"
iFwnCwD1,상위 5%,25.01.10,Ivory,Free,정사이즈예요,아주 만족해요,화면과 비슷해요,158cm,45kg,상의 55,"아이보리 블랙 두컬러 샀는데 둘다 큰 비침없리 딱 좋아요 이런거 잘못사서 팔 짧으면 이상한데 딱 적당하고 쫙 붙는 타이트함인데도 답답하거나 조임 없구요 얇른것 같은데 입자마자 오는 따수함 ... 이게 진짜 신기해요 ㅎㅎㅎ 이유는 모르겠음 
암튼 기본템으로 샀다기엔 메인템 느낌이라 특템한 기뷴 😚"
EdquNzSw,상위 1%,25.01.08,Pink,Free,정사이즈예요,아주 만족해요,화면과 비슷해요,155cm,53kg,상의 55,직진배송으로 빨리 받아볼 수 있어서 좋았어요!! 과감하게 핑크로 구매했는데 생각보다 튀지 않고 은은하게 포인트 줄 수 있어서 이너나 단독으로 입기 좋은거 같아요. 얇을줄 알았는데 나름 쫀쫀해서 보온도 확실합니다! 다른 색상 구매하려고요~
3fVip7lZ,상위 5%,25.01.08,Light Blue,Free,정사이즈예요,아주 만족해요,화면과 비슷해요,163cm,56kg,상의 55,"이너로 입으려고 구입했어요.
1.재질
너무 부드럽고 얇지만 좋습니다.
2.보온성
안에 이거 하나입고 안입고의 보온성이 달라요
3.사이즈
사이즈는 55기준으러 붙게 입을수 있는정도
66사이즈도 재질이 잘 늘어나는 재질이라
편하게 입으실수 있으실겁니다.
가격대비 색도 예쁘고 너무 좋아요.
완전추천입니다."
Purplez,탑리뷰어,25.01.07,Ivory,Free,정사이즈예요,아주 만족해요,화면과 비슷해요,163cm,58kg,상의 55,"✔️질감: 전혀 거칠거나 하지 않아요! 피부가 좀 예민한편인데 면 질감치고도 까끌거리지는 않는 질감입니다! 아주 탄탄하고 쫀쫀한 느낌의 기본티셔츠 입니다! 안에 기모는 따로 안 들어있고, 두께감 자체는 배꼽 살짝 비칠 정도로 얇습니다! 

✔️색상: 색은 상세페이지와 같은 흰색인데, 거의 노란끼 없는 흰색상입니당! 엄청 얇은 느낌이라 속옷이 다 비칩니당! 베이지 색 속옷을 입어도 보입니당!

✔️핏: 제가 상체에 살이 없는 편이 아니라 생각보다 끼임이 없지 않아 있어용! 광배가 너무 강조되어서 단독으로는 못 입을 것 같아용 ㅋㅋㅋ원래도 핏 자체가 딱 붙어 정핏으로 떨어지는 옷인지라 어깨나 가슴부분이 약간 부각되는 편이에용! 163기준 기장감은 엉덩이 절반 정도 덮을 정도라서 넣어 입기도 빼서 입기도 좋더라구요!"
