아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용,제품_사이즈
신비복슝아,탑리뷰어,25.01.12,아이보리(NEW ver.-V),F(44~66),정사이즈예요,아주 만족해요,화면과 비슷해요,167,70,66,"🧶 시오니트 아이보리 후기 🧶

- 구매이유
브이넥, 라운드넥으로 선택지가 다양함. 꾸준히 랭킹템이기도 하고 후기도 많길래 언젠가 한번은 구매해보고 싶었는데 마침 사고싶은 색상이 있길래 드디어 사봤어요!

- 색상
막 화이트!! 이런거 말고 적당히 하얗고 밝은데 또 너무 누런 아이보리로 버터느낌은 아니었으면 좋겠는 색을 찾고있었는데 좋아요! 딱 제가 생각한.. 약간 바닐라 아이스크림 색? 뽀용하고 부드러워 보이는 색감 원했는데 마음에 들어요:)

- 재질
상세사진 보고 어느정도 도톰한거 같았는데 맞았음! 톡톡하니 따뜻한 두께라서 핏도 잘 잡혀있는 재질이예요. 요즘 완전 한파인데 안에 히트텍 입고 입으면 딱 좋을듯!! 

- 디자인
일단 브이넥이 적당히 잘파였어요! 유교걸+직장인이라 많이파이면 상당히 곤란한데;; 딱 넥라인 보일정도만 파여서 답답해보이지 않음! 왼쪽 가슴에 라벨이 있어서 아주아주 좋아요! 자칫 밋밋해보일 수 있는 디자인인데 라벨 하나 있고 없고가 상당히 다른것 같아요. 훨씬 고급져보이기도 하고 디자인 자체가 안심심해 보여요. 
밑단 시보리가 조금 넓은감이 있긴한데 대신 바람은 더 잘 막아줄 것 같아요. 잘못해서 냅다 쭉 피고입으면 사~알짝 복대느낌 날것같아서 예쁘게 잘 주름지게 입어야할것같아요! 

🤍총평
브이넥 파임 적당하고 두께가 꽤 있어서 핏 잘잡히고 따뜻하다. 라벨달려있는 디자인이 예쁘다. 노랗지 않고 예쁜 바닐라색이다. 

다른색으로 또 니트하나 더 장만하고 싶으면 재구매할 의사 있음!",Free
포포부,탑리뷰어,25.01.10,멜론(NEW ver.-V),F(44~66),정사이즈예요,아주 만족해요,화면과 비슷해요,163,52,55,"[시오니트 멜론 New ver.-V] 
평소 상의 55사이즈를 입습니다!

먼저 상세 후기랑 똑같은 예쁜 멜론 색상...🍈 (정말 반해버려ᆢ) 실제 색상과 비슷한 사진은 2번째 사진으로 참고해 주세요! 이 예쁜 실물 색감 담고 싶어 사진 계속 찍어보았는데 이것이 최선이었다고 함니다. 

ㆍ사이즈, 핏 : 프리 사이즈로 루즈한 핏의 활동성을 갖춘 나그랑 디테일까지...! 제게는 예쁜 여리여리한 핏을 만들어 주는 니트에요. 옆태도 루즈핏이기 때문에 여유 있어 보이죠? 몸통, 팔통 다 넉넉해 안에 이너 받쳐 입기도 너무 좋지 모예요! 저는 최근 한파라 두꺼운 목폴라를 입고 외출했었답니당 불편함은 제로! ❄️☃️

최근 선물용으로 같은 New-V넥 아이보리 색상을 구매해 봤는데, 신기하게 아이보리가 더 품이 넉넉하고 전체 길이도 더 길었어요. 브이넥 깊이도 좀 더 깊구요! 멜론이는 팔 기장이 딱 손목까지만 덮고, 전체 기장도 골반 위로 올라와요. 전 멜론색 사이즈가 딱 취향이랍니다!

ㆍ재질, 착용감 : 뉴 버전을 낼 때 난생 처음 들어보는 캐시비스코스 원단으로 업그레이드! 해서 캐시미어의 느낌+비스코스 원단의 부드러움과 보온성을 더했다는데 그 말이 확실합니다...! 맨살에 입어도 보드라울 정도로 니트 재질이 굉장히 부드러워요. 꽤 두께감도 있어 보온성도 신경쓴 것 같아요! 따뜻해요...( ᵕ́ૢ‧̮ᵕ̀ૢ)‧̊·*

ㆍ디자인, 디테일 : 겨울에 구매하는 니트는 죄다 목폴라나 라운드넥뿐이었던 저... 하지만 요 브이넥 디자인 자체가 너무 마음에 들어 평소 브이넥 상의를 잘 입지 않는데도 구매하게 됐어요! 왜냐! 🧐~
멜론🍈 컬러를 비롯해 뉴 버전의 파스텔톤의 뽀용한 색감이 마음에 들고, 브이넥이 답답하지 않을 정도로 적당히 트여 과한 노출이 없기 때문! 제가 무지 상의는 잘 선호하지 않는데 이 뉴 버전 브이넥은 리얼코코가 각인된 무광실버 팬던트가 있는데요! 아 요게 정말 엄청난 포인트이지 뭡니까... 진짜루 팬던트 추가가 한 수였슴니다...🤍 시보리도 짱짱해서 옷이 전체적으로 늘어나지도 않을 것 같고 기장도 품도 색상도... 다 마음에 듭니다. 예. 그렇고 말고요.

색감에 반해 샀는데 너무 마음에 쏙 드는 멜론 니트 나에게 와 주어 참 고맙슴니다... 애지중지 하기보다 팡팡 아끼지 않고 예쁨을 뽐내며 입어 볼게요! 올해 봄에 진가를 발휘할 것 같아서 단독 입+목걸이 뽀인투 or 셔츠 레이어드 해서 입어 보려구요! 요즘은 아이보리 진, 브라운 골덴 바지, 청바지에도 아주 그냥 찰떡쓰. 뭘 입어도 아주 그냥 옙버요.

다른 색상도 사고 싶을 정도로 퀄리티 너무 좋아 강추드리오며,, 시오니트 하실래요...? ٩꒰⍢ ꒱۶⁼³₌₃🍈🤍",Free
초럭키걸,상위 1%,25.01.04,아이보리(NEW ver.-V),F(44~66),정사이즈예요,아주 만족해요,화면과 비슷해요,156,44,55,"포근 깔끔 도톰 핏 예쁜 니트😍
156cm 44kg 상체가 빈약하고 전체적으로 마른편입니다!

▪️ 화이트에 가까운 아이보리 색상이라 얼굴에 누런끼가 안올라와서 산뜻하게 입을 수 있어요

▪️ 넥라인이 꽤 넓게 파여있어서 쇄골이 드러나는 여리한 핏이에요

▪️ NEW 버전에 있는 팬던트가 너무 밋밋하지 않게 포인트가 되어줍니다!

▪️ 따로 이너 없이 속옷만 입고 입어도 거슬리지 않을 정도로 부드럽고 따가운 느낌이 없어요 아주 예민하지는 않아도 목부분은 꽤 거슬려하는 편인데 그런것 없이 편안하게 입었어요

▪️ 옆에서 봤을 때 부해보이지 않아요! 둥글게 등이 굽어보이는 니트도 있는데 리얼코코 니트는 똑 떨어지는 깔끔한 핏이에요!

겨울에도 화사한 니트를 찾으신다면 추천합니다😍
지그재그 체험단 이벤트로 상품을 무료로 제공받아 작성한 리뷰입니다.",Free
뿌뿝핑,상위 10%,25.01.14,그린,F(44~66),정사이즈예요,아주 만족해요,화면과 비슷해요,158,62,,"초록색 진짜 조아하는데 💚
진짜...제가 딱 가지고 싶었던 초록색이에요ㅠ
화면보다 어두울 줄 알고 살짝 걱정했는데 
딱 제가 제일 좋아하는 초록색이에요😭
니트가 약간 도톰해서 어깨도 있어보이고,
핏도 잘 잡아주니 너무 좋아요-!
유교걸이라 브이넥 부분이 걱정 됐는데 
생각보다 안전해서(?) 더 맘에들어요
저의 최애가 되어버렸답니다.🍀
다른 색들도 다 구매하고 싶을 정도로 
옷 마감도 너무 잘 되어있어 정말 좋네요-!",Free
NzTSfFfN,,25.01.14,베이지(NEW ver.-V),F(44~66),정사이즈예요,아주 만족해요,화면과 비슷해요,160,57,55,브이넥으로 구매했어요~ 목이 짧아서 라운드보단 브이넥이 낫겠더라구요~ 고급져보이는 느낌 이구요~ 색상은 흰색대비 따뜻해보이는 색상입니다~ 반팔티입규 팔부분은 맨살에 걸쳐도 까스러움없이 괜찮았어요! ㅎㅎ,Free
직재크러,상위 10%,25.01.13,보카시그레이(NEW ver.-V),F(44~66),정사이즈예요,보통이에요,화면과 비슷해요,161,56,55,"😊 브라운 한방울 섞은 그레이. 은은히 따뜻해 보이는 색
😊 시보리 짱짱!
🤔 보풀이 잘 생길것 같지는 않은데, 며칠 입어봐야 알 것 같음
☹️ 생각보다 옷이 까슬거림. 단독으로 못입을 정도는 아닌데 확실히 거슬리는 정도라서 예민한 사람은 좀 힘들지도",Free
Qihqteol,상위 1%,25.01.10,스카이블루(NEW ver.-V),F(44~66),생각보다 커요,아주 만족해요,화면과 비슷해요,155,48,55,"엄청 두꺼운 느낌이에요. 흐르는 소재다 아니라 각이 좀 잡히는 것 같아요.
하의에 따라 밑단 시보리부분 접어 입어도 괜찮고 길게 내려 입어도 괜찮을 것 같아요. 바지보단 치마랑 더 예쁠 것 같은 느낌이에요.
색깔은 너무 예뻐서 봄까지 입어도 좋을 것 같아요. 굿!",Free
성쓰,상위 10%,25.01.10,아이보리(NEW ver.-V),F(44~66),정사이즈예요,아주 만족해요,화면과 비슷해요,160,48,55,"아이보리 색상 니트를 입고싶어서 직진배송으로 급하게 주문했는데 대만족이에요!
가격도 적당하고 첨 받아봤을 때 생각보다 두툼해서 겨울에 입기 딱 좋아요~!
색상은 상세페이지에서 본 색상보다 살짝 버터한스푼 넣은 색깔이라 옐로우끼가 돌긴 하는데 예뻐서 만족스러워요
브이넥이랑 라운드넥 중에 고민을 많이 했는데 브이넥으로 하길 잘한 것 같아요 뭔가 더 여성스러운 느낌? 옷을 좀 내리면 목 부분이 좀 파였다고 생각하실 수도 있는데 이정도면 나쁘지 않은 것 같아요
로고적힌 것도 트렌디함이 반영되서 좋았어요
근데 팔이 살짝 짧긴해요 그래도 다른 점들이 맘에 들어서 이정도는 괜찮아요~!
다음에 다른색상도 구매하고 싶네요ㅎㅎ
아 근데 하루입었는데 니트 특성상? 살짝 보풀이 올라오긴했어요 참고해주세요:)",Free
무림_,상위 1%,25.01.09,아이보리(NEW ver.-V),F(44~66),정사이즈예요,아주 만족해요,화면과 비슷해요,155,45,55,"이 니트 아더컬러도 소장하고 있을만큼 역시 아이보리도 정말 이뻐요.. 핏 진짜 최고!! 질도 좋아서 오래 입을 수 있을거 같아요. 브이넥 니트는 크게 선호하지 않는 편인데 이건 진짜 핏이 사기에요. 주에 2번은 꼭 입어서 제 데일리룩에 자주 등장하는 아이 그리고 생각보다 두꺼워서 겨울 아우터 이너로 아주 딱이에요. 보온성도 굳굳 다른 아더컬러도 다 갖고 싶음ㅎㅎ 모두에게 추천하고 싶은 브이넥 니트에여 진짜 최고 ㅜㅜ걍 믿고 주문하셔도 될듯!! 모두가 입어줬으면 하는 니트 중 하나에요!!
지그재그 체험단 이벤트로 상품을 무료로 제공받아 작성한 리뷰입니다.",Free
조영이,상위 5%,25.01.09,스카이블루(NEW ver.-R),F(44~66),정사이즈예요,아주 만족해요,화면보다 어두워요,163,48,55,"◇상의 85~90 / XS~S
(정핏으로 나오면 85, XS가 맞고 몸에 꽉 끼는 게 싫을 때나 널널했으면 할 땐 90, S로 고릅니다. 95, M 사이즈는 무조건 커요)
◇체형 : 163.4cm / 48.5kg
다리가 길지도 않고 짧지도 않은 딱 중간 체형인데, 허리 둘레가 얇고 길어요

♡톤을 많이 타는 스타일이라, 색이 정말 중요한데!! 나랑 정말 잘 어울렸어요. 오늘 바로 첫 개시했는데 회사에서 옷 칭찬이 자자했음 뿌듯*.*
올라와있는 상품 사진 색상이랑은 달랐어요. 옷 받아보면 알겠지만 상품 정보보다 색상 더 예쁩니다. 이렇게 예쁜 하늘색이 다 있네요. 제가 올린 첫 번째 사진이랑 네 번째 셀카샷이랑 색 가장 유사해요. 같은 색으로 찍는다고 고생 좀 했습니다 ㅎㅎ
♡일단 소매가 아주 적당히 길어요. 나름 팔이 긴데 이 정도면 아주 좋아요. 겨울에 소매 짧으면 더 춥잖아요? 얜 아주 넉넉하게 소매 내려옵니다. 마지막 사진 보면 딱 알 수 있음!
♡하루 입었는데 보풀 전혀 안 일어나요. 니트 살 때 보풀 많이 걱정되잖아요. 회사 갔다와서 찍은 건데 첫 번째 사진 보면 보풀이 거의 안 일었죠? 소매도 저 정도인데 몸통안 보풀이 일 생각이 없어보임 ㅎㅎ
♡도톰해서 아주 따뜻하고
♡크게 까끌거리지 않아요
♡저처럼 올려입으면 크롭핏으로 가능하고 내려입으면 엉덩이 반 이상 덮입니다. 짧을 거 전혀 걱정 안 해도 돼요. 보통 길이 길면 안으로 말아도 쥬르륵 풀리면서 길어지는데 얘는 그냥 그대로 고정돼서 안 내려오고 크롭핏으로 딱 있어요. 신기방기하네. 여튼 아주 굿입니다
♡왜 안 사요? 믿고 사요. 득템입니다, 진짜로",Free
