아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용,제품_사이즈
5GGu23Ss,상위 5%,25.01.05,스카이블루[기모],,생각보다 커요,보통이에요,화면보다 어두워요,170.0,55,66,"아이보리 잘 입고 있어서 구매했어요.
기모라 따뜻하고 오버핏이라 활동성 좋고
여기저기 입기 좋아서 다른색상도 구매했어요
파스텔톤의 스카이블루 아니고
보라빛이 도는 어두운 블루인데 예뻐요",Free
시니에오,상위 5%,24.12.24,아이보리[기모],,생각보다 커요,아주 만족해요,화면과 비슷해요,160.0,54,55,"생각보다 커서 몸이 좀 부해보이긴 하지만
겨울이니깐 뭐?!ㅎ
새 냄새도 없고 엄청나게 부드러워요 ㅠㅠ
기모여서 역쉬나 따뜻합니당
입고있으면 기분까지 좋아짐 ㅋㅋ
겨울철 출근템으로 열심히 입어보려구요!!",Free
rPgeHNNS,,23.11.11,그레이(기모),,정사이즈예요,보통이에요,화면과 비슷해요,175.0,57,66,사이즈 넉넉해요! 제가 팔이 진~~짜 긴데 팔 길이가 이쁘게 맞아요. 폭은 넉넉하고 기모 따뜻합니다😏 레터링도 실밥으로 되어있어서 싸구려 같지 않아요!,Free
Mzv1F4sy,상위 5%,24.12.13,블랙[기모],,생각보다 커요,보통이에요,화면과 비슷해요,164.0,46,44,진짜 너무 무난한 맨투맨 기모도 있고 품도 커서 출근룩이나 유니폼 대용 처럼 막 대충 입기에 너무 좋음 검정이라서 뭐가 튀어도 티가 잘 안남 그대신 먼지 겁나 잘보임 와 모든 먼지는 얘가 다 부착하는 느낌,Free
0FaHu8Ck,,23.11.09,아이보리(기모),,정사이즈예요,아주 만족해요,화면과 비슷해요,160.0,50,55,"상의 낙낙하니 아방하니 귀여워요!
안에 기모버전으로 사길 잘한거같아용 부들부들 소재듀 좋고 꾸안꾸로도 입고, 편하게도 입으려고 샀는데 다른색도 구매욕구 넘쳐나네요..!
요아이 크롭맨투맨으로도 만들어주셨으면 좋겠어용..♥️ 젤리팬츠랑도 찰떡입니당
예뿌게 입을게요! 색감도 화면이랑 똑같아요~!",Free
NpfmrKFf,,22.11.08,그레이,,정사이즈예요,보통이에요,화면과 비슷해요,158.0,56,66,인기상품이라서 배송지연이 되었지만 상품은 완전 만족스럽습니다! 안에 기모는 두꺼운 편은 아니라서 더 추워지면 패딩이랑 같이 입어야 할 것 같고 오른쪽 팔 부분 마감은 원래 이렇게 디자인 된건가요...??,Free
v4y55nfF,상위 1%,22.02.16,아이보리,,정사이즈예요,아주 만족해요,화면과 비슷해요,164.0,55,55,"너무 맘에 들어요 ㅎㅎ 할인할 때 사길 잘한것 같아요 첫번째껀 밑단 넣은거고 두번째사진은 뺀건데 넣은게 날씬해보여요 기모도 너무 뷰드럽고 적당한 오버핏이라
귀여워보여요 회색도 사고싶어요ㅠㅠ",Free
oKRQLScO,,24.02.17,블랙,,정사이즈예요,보통이에요,화면과 비슷해요,173.0,63,66,"털빠짐이 장난아닙니다
검정색상 구매했어요
애기 키우고 있어서 반품할까 하다가
그냥 세탁기 돌리는중이에요
털빠짐 각오하고 사시는게 좋을듯해요
한국생산인데 좀 실망스럽네요",Free
taW69iRx,상위 5%,25.01.02,스카이블루[기모],,생각보다 커요,아주 만족해요,화면과 비슷해요,162.0,53,55,옷따뜻하고 이뻐요 색감도 너무 이쁘고요 기모도 잘들어가 있어서 너무 좋아요 살짝 귀여운 맛도 있어요 아주 아주 맘에 들어요,Free
JYJ4pYsH,상위 10%,24.12.15,스카이블루[기모],,정사이즈예요,보통이에요,화면과 비슷해요,168.0,58,,"색, 디자인이 예뻐서 교복템으로 잘 활용하고 있습니다! 다만.. 밑단? 몸통 시보리쪽에 보풀이 잘 일어나니 보풀제거기로 잘 제거해줘야 할 거 같아욤",Free
