아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용,제품_사이즈
5UhcIEfs,,24.02.13,아이보리,free,정사이즈예요,아주 만족해요,화면과 비슷해요,166,53,44,"상표에 LYDIA 라고 적힌 동일제품을 타사에서도 많이 판다는 걸 받아보고서야 알았네요 ㅎㅠ 제가 주문한 타사 제품보다 900원 쌉니다!! 여기서는 흰색만 시켰는데 아쉽네요 ㅜ
가격에 비해 퀄리티 아주 좋은 편인 듯합니다. 실밥도 거의 다 정리돼서 왔습니다. 물론 오래 입을 티셔츠로 생각되진 않는데 이 가격 티셔츠면 다 비슷할듯 하네요
저는 스펙에 비해 상체가 마른 편인데 제 체형에 루즈하지도 딱 붙지도 않는 스탠다드핏입니다. 길이는 하이웨스트에는 넣어입을수밖에 없을정도로 깁니다
면 재질이 막 엄청 얇은 느낌이 아니고 흰색 비침도 별로 없습니다! 전체적으로 기본티로서 매우 만족합니다~~",Free
w5ZEY5Hi,상위 5%,24.02.02,아이보리,free,정사이즈예요,아주 만족해요,화면과 비슷해요,157,49,66,"신축성도 좋고 딱 무난한 기본 이너티
너무 얇지도 않고 딱 적당한 두께감에
라운드넥이 쇄골 라인 잘보여줘서 좋아요
안에는 밝은색 속옷 입으면 거의 안 비침
마감도 허술하지 않고 잘 되어있고
이정도 가격에 이정도 퀄리티 완전 만족입니다
라운드넥 이너티 사려면 앞으로 여기서 사야겠네요
강추!",Free
f0l0tfSD,탑리뷰어,25.01.06,긴팔,블랙,정사이즈예요,아주 만족해요,화면과 비슷해요,165,44,44,완전 기본템이에요! 레이어드 할 때 쓸 수도 있고 기본티로 입기도 좋아요! 핏은 여리여리한데 보시는 것처럼 허리라인이 들어가는 핏은 아니다 보니 일반 일자 바지 보단 와이드 팬츠와 입을때 잘 어울립니다!,Free
몽이짱아엄마,상위 5%,24.11.11,긴팔,아이보리,정사이즈예요,보통이에요,화면과 비슷해요,165,53,55,"진짜 기본템으루 너무 좋아요 이거입고 
아무거나 걸쳐입으면 무난무난 이뻐요 
몸매부각은 되는데 더 날씬해보이고 
여리여리해보여요 흐흐 
기본템 찾아보시는분들 구매하시면 
좋을 거 같어용",Free
긴팔원숭이,상위 10%,24.11.04,긴팔,아이보리,작아요,아주 만족해요,화면과 비슷해요,169,55,77,"속옷라인이 보이는게 좀 그래서 포즈가 좀 이상합니다 하하
색 : 완전 화이트
재질 : 적당히 부드러움 
비침 : ㅇ
사이즈 : 전 긴팔 원숭이라 약간 짧았어요 제가 골격이 커서 그런지 전체적으로 좀 붙는감이 있네요
재구매 의사 : ㅇ
이너로 입으면 좋겠네요 가격대비 만족합니다-!",Free
9O0Fkoz4,상위 30%,24.11.03,긴팔,아이보리,정사이즈예요,보통이에요,화면과 비슷해요,152,42,44,"재재재구매 중인 긴팔 기본티에요! 여름 제외한 계절에 니트나 가디건 안에 휘뚜루마뚜루 입어주기 좋아요 올해 봄에 1장 샀다가 맘에 들어서 2장 더 샀다가 ,, 올 가을에 2장을 못 찾아서 또 2장 더 산 ㅋㅋ 😆😆 

작은 체형에 마음에 드는 이너티 찾기가 힘든데 제 체형이신 분들은 사진 참고해서 구매 고려해보시는 것도 좋을 거예요 🤩

보들보들한 재질이라 까끌거림 전혀 없고

검은 속옷 입었을 때 비침은 사진 참고해주세용

전 회색, 검은색도 추가로 장만했답니다 🤭🤭",Free
FOUUA1sq,상위 15%,24.10.24,긴팔,연핑크,작아요,아주 만족해요,화면과 비슷해요,164,54,44,"소매가 길어서 좋아요
핏은 생각보다 붙고 부해보이는 핏인데 네이비 사진처럼 주름져서 입으면 갑자기 여리핏이 되는 놀라운 옷이에여
옷이 진짜 부드러워요
옷 색이 예쁩니댜
옷 색상별로 사이즈 차이가 조금 있는 거 같아여
저는 네이비가 좀 더 붙는 느낌이네요",Free
맥씽,탑리뷰어,24.10.23,긴팔,아이보리,정사이즈예요,아주 만족해요,화면과 비슷해요,164,65,66,"어깨 38~9, 가슴 96, 허리 76 평균상의 66~77입는 사람의 후기입니다!
그레이랑 아이보리 두개 주문했는데 아이보리는 일반 배송이라 하루정도 더걸려 받았어요 퀄리티 아주 만족해요! 소매가 낙낙해서 레이어드해 입기도 좋고, 면 100이라 아토피있는 저도 까끌거림 없이 입을 수 있어요. 신축성이 꽤 있어서 팔뚝이 약간 끼어도 88까지는 무난하게 입으실 것 같습니다. 두께 그렇게 두껍지도 얇지도 않아서 한여름 빼곤 두루두루 잘 입을수 있고요 목이 너무 파여있으면 브이넥이랑은 레이어드가 힘들어서 걱정했는데 입으면 이너로 딱 예쁘게 보여요bb 그래도 흰색이라 비침은 좀 있으니 스킨톤 속옷이나 런닝 필수!
뒷목 택 실밥이랑 소매 실밥만 조금 정리해줬고 전체적인 마감도 값대비 준수했어요. 꺼냈을때 새옷 냄새도 심하지 않았고 전 그냥 깔별로 쟁이려구요 매우 추천!!",Free
맥씽,탑리뷰어,24.10.17,긴팔,그레이,정사이즈예요,아주 만족해요,화면과 비슷해요,164,65,66,"키 164, 가슴96, 허리 76, 어깨 38~39 상의 평균 66~77입는 사람입니다!
이너용 기본티셔츠로 강추드려요 단면도가 작아서 입을수있을까 걱정됐는데 제 체구에도 무리없이 입을수 있어요. 아토피 있어서 까끌한거 못참는데 촉감도 괜찮은 편이구요 (입거나 손으로 만졌을때 아주 약간 가칠가칠한...? 느낌이 있습니다 순면이라 짜임이 그런듯해요) 소매도 낙낙해서 레이어드하면 예쁘고 여리하게 잘 어울려요! 적당한 신축성으로 부담스럽지 않은 슬림핏이라 단독으로 입어도 예쁘구요 새옷 특유의 시큼한 냄새도 심하지 않아요. 아이보리도 시켜놨는데 직진배송이랑 하루정도 차이 나는것같습니다
배송기사님들 노고와 빠른 출고 감사합니다.. 🙏 💖 깔별로 쟁여야겠어요!",Free
p1mwbfBN,,23.12.06,소라,free,정사이즈예요,아주 만족해요,화면과 비슷해요,155,52,55,"같은 제품 다른 쇼핑몰에서 구매한 적 있었는데 여기가 더 저렴하게 판매해서 샀어요!! 핏 정말 예쁘고 이너로 입기 완전 최고 벌써 색만 다르게 4개째 구매인데 이왕이면 여기처럼 저렴한 곳에서 사시는거 추천드려요!!
(사진은 걸어둔거 찍은건데 사진에 나온것보다는 푸른기가 돌아요!)",Free
