아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용,제품_사이즈
agVwFLwi,상위 15%,24.10.25,Ivory,Free,생각보다 커요,보통이에요,화면과 비슷해요,160,50,55,"후기가 넘 좋길래 휴양지가서 입으려고 사봤는데 만족!
몸무게에 비해 상체 마른 편인데 흉통 너비가 널널해요
그래서 끈 조절해서 최대한 위로 올려서 입을 것임.
덕분에 부유방 가려주고용.
안에 나시탑브라 입어야해요 숙이면 다 보임ㅋㅋ
비침은 생각보다 좀 있지만 어차피 배부분은 티가 안나니까 괜찮아요
딱 가격만큼 하는 옷 같아요 핏은 예쁨",Free
CRABNoHR,,23.09.20,Ivory,Free,정사이즈예요,아주 만족해요,화면과 비슷해요,158,47,44,"맘에 들어요! 급하게 시킨거라 별 기대 안 했는데
저렴한 가격에 전반적으로 다 맘에 들어요
색깔이야 뭐 기본컬러 화이트라 맘에 안 들수는 없지만!
깨끗한 화이트 컬러고, 어깨 끈이 조절가능하다는 점이 가장 좋았어요💗💗
여름에 잘 입었습니다아",Free
WOEXHFHM,,23.07.30,Ivory,Free,정사이즈예요,보통이에요,화면과 비슷해요,155,52,55,"원래 흉통 커서 이런거 못 입는데 이건 딱이에요 ㅎㅎㅎ 살 좀 빼서 야들야들하게 입으면 더 좋을것 같아요 
부유방도 잘 가려주고 길이 조절도 되고 소재도 시원해서 여름에 아쥬 딱이에요! 이런 뷔스티에 나시
하나 갖고 싶었는데 저렴한 가격에 아주 잘 구매한 것 같아요! 다른 상품들이랑 후기 엄청 비교해보고 샀는데, 다른 비슷한 옷들은 다들 바스트가 낀다고 하더라구요??? 요건 아주 편해여^.^",Free
thkh******,,23.06.16,Black,Free,정사이즈예요,아주 만족해요,화면과 비슷해요,167,55,55,완전 농협은행... 농협은행 !!!! 퀄리티 좋고 튼튼해요 줄 길이도 조절할 수 있어서 좋습니다 부해보일까봐 걱정했는데 두번째 사진처럼 걍 귀엽네요.. 특히 이 옷..세번째 사진처럼 부유방 야무지게 가려줘서 여행 가서 당당하게 입고 다닐 수 있을것 같습니다 흰색도 같이 사길 잘했어요 증말루,Free
thkh******,,23.06.16,Ivory,Free,정사이즈예요,아주 만족해요,화면과 비슷해요,167,55,55,완전 농협은행... 농협은행 !!!! 퀄리티 좋고 튼튼해요 줄 길이도 조절할 수 있어서 좋습니다 부해보일까봐 걱정했는데 두번째 사진처럼 걍 귀엽네요.. 특히 이 옷..세번째 사진처럼 부유방 야무지게 가려줘서 여행 가서 당당하게 입고 다닐 수 있을것 같습니다 검은색 같이 사길 잘했어요 증말루,Free
스텔라벨라,상위 5%,24.09.13,Black,Free,정사이즈예요,아주 만족해요,화면과 비슷해요,167,52,55,"화이트 사고 마음에 들어서 블랙도 구입했어요!
9월에도 30도를 육박하는 이 날씨 ….
블랙 컬러 재구매해서 입기에도 충분히 더운 날씨네요! ㅎ ㅎ 오히려 좋아~
쌀쌀해지면 티셔츠 위에 레이어드해서 입으면 될거같아요~",Free
uJzGSDS9,상위 5%,24.09.06,Ivory,Free,정사이즈예요,아주 만족해요,화면과 비슷해요,163,56,66,"다른 쇼핑몰 제품들과 하나하나 따지며 엄청 고민한뒤 골랐는데 진짜 너무 만족스러워요!!! 팔랑거리는 디자인때문에 부해보이는건 있지만 끈조절이되는게 너무 좋았어요! 그리고 부유방 커버 10000%됩니다,,👍🏻 너무 파이지도 않았고 입은날 옷 이쁘다는말도 많이 들었어요!! 뭐사야할지 고민하시는분들은 여기꺼사세요🥹👍🏻",Free
JgHUR9yW,상위 30%,24.08.23,Black,Free,정사이즈예요,보통이에요,화면과 비슷해요,163,55,55,"단독으로 입기엔 아직 팔뚝살이 자신없어서 흰티에 레이어드해서 입었는데 넘 예뻐옹 💙
비슷한 디자인 많은데 여기가 퀄리티도 괜찮고 가격이 핮리적이라 구매완료 ㅎㅎ 흰색도 살거에여
길이 조절도 되고 옆에 지퍼도 있어서 입기 편해옹",Free
pTJSZE6y,,24.08.17,Ivory,Free,정사이즈예요,아주 만족해요,화면과 비슷해요,,,,"해외 갈 때 미리 입으려고 구매했는데 너무 입고 싶어서 한번 입고 외출 했는데 친구들이 너무 예쁘다고 칭찬해줬어요🩵 
끈 길이 조절해서 부유방 커버 되고 숙이면 안에 다 보여서 저는 나시 착용하고 입었어요~ 
부유방이랑 팔뚝살 때문에 입는 게 걱정됐는데 부유방도 가려주고 너무 예뻐서 자주 입게 돼요~~🧚‍♀️
색상도 저는 너무 마음에 들었어요!! 두껍지도 않고 바람 불면 휙~ 옷이 까꿍할 수도 있지만 예쁘니까 그런건 문제 없죠~~~~٩(๑❛ᴗ❛๑)۶",Free
vmc1xANo,상위 5%,24.07.31,Ivory,Free,정사이즈예요,아주 만족해요,화면과 비슷해요,156,58,66,"이정도 가격이 이정도 퀄리티 정말 말이 안돼요
스펙은 156/55인데 말라보이고 딱이에요
부유방 커버도 잘 된답니다.
여행지 가서 입으려 샀는데 딱이에요.
이 나시만 2틀은 입은듯..ㅎㅎ
색상은 똑같고 소재도 동남아에서 입기에 덥지 않고 좋았어요. 길이는 너무 짧지 않고 엉덩이 살짝 위였어요.
평상시에도 입을 수 있을만큼 예뻐요
나시가 부담스러운 분들은 볼레로 가디건에 매치해서 입으면 예쁠 것 같아요
고민이신분들 , 부유방 커버하고싶으신 분들
고민 말고 사세요 !",Free
마감집착,상위 5%,24.07.25,Ivory,Free,정사이즈예요,아주 만족해요,화면과 비슷해요,168,46,44,"키 167.8, 45~47kg 첫 사진은 뜯자마자 입은 거라 주름이 좀 있음. 몇 일 걸어두니까 괜찮아짐.
옆에 지퍼도 있구요, 어깨에 길이조절 끈이 있습니다. 부유방은 끈 길이 조절해서 싹 가려졌구요 넘 맘에 듭니다. 브라 무조건 보이니까 누브라 필수.
가슴 밑이 조여지고 그 밑엔 널널해서 많이 먹어도 배 안 나와보이기 가능. 근데 정말정말 살짝 비치고 바람불면 뒤집어질 것 같음.
암튼 넘 맘에 들어엏 후후 난생 처음 어깨에게 햇빛이란 걸 보여줬습니다",Free
juhy*****,상위 5%,24.07.21,Black,Free,정사이즈예요,아주 만족해요,화면과 비슷해요,175,60,66,이번구매한거랑은 다른 컬러지만 여행가서 저때 아이보리 너무 예쁘게 잘 입어서 이번에 블랙으로 또 구매했어요!! 옷만 보면 기장이 짧은가 싶은데 입으면 예쁜 기장이에요. 입으면 여리여리하고 넘넘 예쁩니당.🥹,Free
lsvpJUqd,,24.04.19,Ivory,Free,정사이즈예요,아주 만족해요,화면과 비슷해요,160,56,66,"가격대비 너무 괜찮은 퀄리티예요 ~

면 밀도도 괜찮구 얇아서 바디부분은 살짝 비치는데
야할 정도는 아니구요

바스트 부분은 더 도톰해서 안 비쳐요 !

지퍼 마감도 괜찮았구 어깨 끈 길이가 조정되서
속옷 입어도 뒤에 끈 안보이게 할 수 있어서 만족해요

유행 안타는 디자인이라 더 마음에 듭니다

입어보고 검정도 사고 싶어질거 같네용 ~^^



아 바스트가 75F컵인데 따악 맞아서 
숙여도 가슴골 부분만 신경쓰면
다른 부분으로는 뜨는 곳이 없어서
큰 노출 걱정없이 입을 수 있을 거 같아요",Free
seol******,상위 10%,24.07.18,Black,Free,정사이즈예요,아주 만족해요,화면과 비슷해요,167,63,66,얇고 좋아요~~~ 평소 55-66사이즈인데 잘 맞습니다. 첨엔 지퍼있는줄 모르고 그냥 입으려고 했는데 안들어가는줄.... 알았어요! ㅋㅋ 지퍼 내리고 입으니 수훨하게 입을 수 있었습니다! 짱 이쁘고 귀여워용! 러블리 그 잡채!끈조절도 되고 너무 좋습니다,Free
E5c1xLyl,,24.07.09,Ivory,Free,정사이즈예요,아주 만족해요,화면과 비슷해요,164,54,55,"사막에서 입으려고 구매했는데 생각보다 이곳저곳 다 잘어울려서 잘입었어요
품이 널널해서 부유방 부각 없고 핏이 넘 예뻐요..
옆에 지퍼가 있지만 열지 않고도 입을 수 있는 넉넉한 사이즈예요
재질은 약간 바스락거리는 재질이어서 여름에도 덥지않게 시원하게 입을수 있어요
사막 올화이트 룩에 완전 추천해요!",Free
youn****,상위 25%,24.07.08,Ivory,Free,생각보다 커요,아주 만족해요,화면과 비슷해요,158,46,44,"✔️ 키/몸무게 : 158/44
✔️ 비침: 흰색인걸 고려하면 비침은 적은 편
✔️ 저한테는 품이 커요 어깨끈 줄여도 키 큰 사람들은 제 등을 볼려면 볼 수 있을듯
✔️ 그럼에도 불구하고~ 예뻐요 ! 바스락거리는 재질에 어깨끈 조절 가능한 점도 마음에 들어요",Free
MFNaiIUm,상위 15%,24.06.20,Ivory,Free,정사이즈예요,보통이에요,화면과 비슷해요,163,50,55,"이거랑 똑같은 제품을 여러 사이트에서 엄청 팔더라구요ㅋㅋㅋ
여기가 제일 저렴하진 않았지만 같이 구매할 예쁜 옷들이 더 많아서 여기서 샀어용
끈 길이 조절 가능해서 좋구요, 가슴쪽이 널널해서 부유방 부각 전혀 없어요
같이 입으려고 가디건도 주문했는데 그건 아직 안왔네요
나머지도 빨리 배송왔음 좋겠다",Free
pgAHwb42,상위 20%,24.06.20,Ivory,Free,정사이즈예요,아주 만족해요,화면과 비슷해요,161,48,55,"연청바지랑 같이 입으면 너무 이뻐요...!
진짜 청순한 느낌 그 자체...
여행갈때 입어도 예쁘고 그냥 평소에도 걸칠수있는 휘뚜루마뚜루 템!
이런거 살때 걱정이 옆쪽이 너무 파여서 가슴이 노출되면 어쩌나 싶은데 그런 부분을 확실히 잡아줘서 누브라에 편안하게 입을 수 있어요.
또 너무 딱 달라 붙지않아서 부유방 부각도 없습니다.
요즘 이런 스타일이 유행인데 이거는 진짜진짜 사길 너무 잘했다는 생각이 드네요",Free
nwRGpV6h,,24.06.18,Ivory,Free,정사이즈예요,아주 만족해요,화면과 비슷해요,164,44,44,색상이 누리끼리한 아이보리가 아니라 완전 깨끗한 흰색이라 넘 맘에 들어요! 재질도 시원해서 좋고 어깨끈 있는 게 진짜 신의 한 수 인 것 같아요 제가 체구가 작아서 조절을 못하면 진짜 옷이 거대해보일 뻔 했는데 딱 좋습니다,Free
KT1Vbx7l,,24.06.11,Ivory,Free,정사이즈예요,보통이에요,화면과 비슷해요,162,53,55,"제 생각보다 훨씬 예뻐요ㅠ
원래 이런 스타일 잘 안입는데 진짜 맘에 드네요ㅋㅋㅋ
부유방 잘 가려줘서 날씬해보이고 끈조절 할 수 있어서 더 좋은 것 같아요!! 
바스트가 좀 있는 편이라 작을까봐 걱정했는데 딱 맞아요. 
옆에서 볼땐 부해보이는 건 어쩔수 없네요..ㅎ 
오염도 좀 있지만ㅠ 그래도 예뻐서 만족입니당
배송도 하루만에 왔어요",Free
