아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용,제품_사이즈
sinh*****,,24.10.05,롱(+1000),아이보리,정사이즈예요,아주 만족해요,화면과 비슷해요,170,71,66,"셔츠 목부분이랑 손목 끝 부분이 너무 얇으면 흐물흐물 거리는데 이건 그렇지 않아서 너무 좋구요 재질도 부드럽고 바삭?해서 좋았습니다
또 핏이 허리가 얇아보이게 해주어서 너무 좋습니다!!",Free
비닝비닝23,상위 10%,24.10.03,롱(+1000),블루,정사이즈예요,아주 만족해요,화면과 비슷해요,154,58,66,"사이즈랑 퀄리티 다 생각했던대로에요
포장 잘 되어서 왔고 색상도 생각했던 그대로라 잘 입울것 같아요! 
다른쇼핑몰과 달리 옷 구겨지지않게 저 종이?와 함께와서 보관법도 알고 좋은것 같아요
후기가 많은데는 이유가 있네용 
배송은 그럭저럭 이였고 톤 다운된 블루 딱 원하던거라 잘 입울것 같어요
재질은 살짝 도톰한느낌 ?
딱 지금 안에 나시나 얇운반팔입고 가을에 입기 좋을것 같아요 
흰색도 구매하려구용 
많이 파시고 고민하시는분들은 얼른 사세용
고민은 배송만 늦출뿐 입니당 ! 
팔이 좀 김데 이건 접어서 입으먼 괨찮을곳 같아용",Free
jK0hDOoh,,24.08.22,롱,핑크,정사이즈예요,아주 만족해요,화면과 비슷해요,159,52,55,셔츠가 얇지도 두껍지도 않아서 스트레이트 체형임에도 부담없이 입었습니다 얼룩이 묻어있었지만 티가 많이 안 나고 교환하기 귀찮아서 그냥 입었어요😓 셔츠가 좀 크고 길었다는 리뷰가 있어서 많이 고민했었는데 158기준으로 예쁜 오버핏이었어요🩷 다른 색상도 구매할 예정이에요~,Free
좀비토끼,상위 5%,24.08.05,롱,블루,정사이즈예요,아주 만족해요,화면과 비슷해요,168,59,66,"소매 걷은 채로 입으면 그날의 룩이 적당히(?) 멋있어져서 좋고, 정말 말 그대로 4계절용 셔츠가 맞는 것 같아요! 요즘 같은 때 더운 감이 없지 않아 있긴 한데, 그래도 소매 걷은 상태로 숏팬츠랑 입으면 못 다닐 정도는 아니거든요 :) 셔츠 자체가 오버핏이긴 해도 와이드 데님 팬츠랑도 잘 어울려서, 입고 나갈 옷 바로 안 떠오를 때 집에 있는 아무 청바지랑 같이 막 입고 다니기 좋은 셔츠라고 생각합니다😆",Free
뭐든길게씀,상위 5%,25.01.06,롱(+1000),핑크,정사이즈예요,보통이에요,화면과 비슷해요,,,,"일단 마감처리가 좀 아쉬웠음
사진 뿐만 아니라 전체적으로 여기저기 실밥 튀어나오고
단추에도 자꾸 실 튀어나와서 각잡고 옷 전체 실밥처리함 ㅠ
웜톤에게 무난하게 어울렸던 옷
재질이 신기함 매끈매끈한 그런 느낌이 아닌
오돌토돌 암튼 그럼 구김도 적당하게 짐
생각보다 도톰했음 색감도 예쁨 사진이랑 색 똑같음 !!
171에 어깡에 긴팔 원숭이인데 손목에 딱 예쁘게 기장 떨어짐
사진은 소매 두번 접은 것 많이 안짧아지는 그런 팔기장임
총기장도 적당했음 !!
내가 여리여리한 몸이 아니라서 모델핏은 안나옴
어깡 등빨 덩치 다 있는 몸이라 모델처럼 남친와이셔츠룩 st 절대 안나옴
그치만 어깡도 입을 수 있게 넉넉함 !!!
오버핏이라 나같은 똥손은 넣입 예쁘게 하기가 어려움 흑흑
대체적으로 무난한 템
실밥만 좀 깔끔했으면 더할 나위 없을 듯 !",Free
ys0lkd6N,상위 5%,24.12.21,롱(+1000),핑크,생각보다 커요,보통이에요,화면과 비슷해요,167,48,55,색감도 화사하고 원단도 너무 얇지 않아 좋아요. 팔은 긴편이고 전체적안 핏은 낙낙 한 편입니다. 레이어드용으로 구입 했지만 단독으로 입어도 예쁠 것 같아요. 전반적인 퀄리티 좋습니다.,Free
x7bHuxdi,상위 20%,24.12.21,숏,핑크,정사이즈예요,보통이에요,화면과 비슷해요,160,54,55,"살짝 오버핏인데 부해보이지 않아서 좋아요!
화사한 색을 사고 싶어서 핑크색으로 구매했는데 아주 잘한 선택같습니다 ㅎㅎ
고민하다 숏으로 구매했는데 160기준 딱 배꼽정도 까지 와요! 저는 하이웨스트를 많이 입어 넣어입거나 빼입는 것 모두 가능할 것 같고, D컵인데 가슴쪽이 벌이지는 것도 없어 좋습니다! 탄탄한 소재라 잘 입을 것 같아요!",Free
ceh9*****,상위 10%,24.12.19,롱(+1000),아이보리,정사이즈예요,보통이에요,화면과 비슷해요,154,48,,"레이어드로 스웨터 안에 입을 흰 셔츠 괜찮은 거 찾고있었는데 너무 마음에 듭니다. 
재질은 약간 보들보들한 촉감의 면 같은데 생각보다 저렴한 느낌이 아니라서 좋았어요. 빳빳한 정장 셔츠 느낌은 전혀 아니고, 편하게 놀러다닐 때 입으면 좋을 느낌? 
아무래도 흰 셔츠다 보니 비침이 있어서 입을 때 나시 같은 이너웨어 필수일 것 같습니다.",Free
lFvfkYq4,,24.12.03,롱(+1000),핑크,생각보다 커요,아주 만족해요,화면과 비슷해요,158,47,44,"편안한 소재예요!
핑크 셔츠 입고 기분전환하고 예쁘다는 얘기도 많이 들었어요◡̈ 
니트랑 레이어드해서 입기에는 기장이 길어서 숏으로 구매하는게 맞을거같아요!
구김이 잘가는 재질인데 탈탈 털면 어느정도 펴지는 느낌?? 사이즈가 낭낭해서 바지에 넣입으면 예쁘긴한데 라인이 좀 두꺼워지는 느낌?이에요 예쁘게 넣는봅을 찾아봐야겠어용ㅎㅎ",Free
MvGEHNss,상위 5%,24.11.30,롱(+1000),블루,정사이즈예요,보통이에요,화면과 비슷해요,173,64,66,"색감이 예쁘고 휘뚤마뚤 다 잘 어울려요. 근데 카라가 좀 힘이 없는 편이구 구김이 잘져요.
살짝 물탄 네이비같은 색이구 저한테는 정핏으로 맞아요. 키가 크고 팔이 길어서 걱정했는데 팔길이도 맞구 허리라인도 정핏으로 딱 떨어집니다.",Free
