아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용,제품_사이즈
jNjPWy5y,,25.01.09,그레이,,작아요,아주 만족해요,화면과 비슷해요,160.0,51,55,"겨울에 떠나는 해외 여행이라
용기내어(?) 민소매 티셔츠를 사봤어요
색감은 딱 제가 원하던 회색 그 자체이구요
마감 처리도 잘 되어 있어서 아주 마음에 듭니다
신축성도 좋고 쉽게 늘어날 천도 아닌 것 같아
아주 만족합니다",Free
jNjPWy5y,,25.01.09,크림베이지,,작아요,보통이에요,화면과 비슷해요,160.0,51,55,"아이들 겨울방학 동안 더운 나라 여행을 계획하고 있어서
딸내미랑 함께 입으려고 구입했어요
기본 디자인이라 더 눈이 가더라구요
색상 선택을 생각과 다른 색상으로 선택했더라구요
그런데 그게 더 좋아요
박음질이 깔끔하고 마무리가 잘 되어 있어 너무 마음에 들어요",Free
JlOmxeDB,상위 5%,25.01.07,챠콜브라운,,정사이즈예요,보통이에요,화면과 비슷해요,157.0,49,44,"여름부터 간 보다가 반년만에 그냥 지름. 고민은 그냥 구매를 늦출 뿐이네요
색감은 딱 뮤트톤 브라운색이라 마음에 듭니다 기장도 크롭하지 않아서 좋아요 근데 넥라인이 좀 답답?한 감이 있네요... 그래도 겨드랑이살은 살짝 커버되는 편입니다",Free
듐듐,상위 5%,24.12.04,블랙,,정사이즈예요,보통이에요,화면과 비슷해요,163.0,52,55,"크림베이지로 먼저 구매하고 핏이랑 탄탄한 느낌이 너무 마음에 들어서 블랙으로 재구매했어요! 

부유방 부각이 안된다는 다른 리뷰 보고 구매했는데, 정말 부유방쪽을 잘 잡아주더라구요. 허리가 길고 가늘고, 팔뚝 뒤쪽 살이 잘 찌는 체형인데 딱 예쁘게 맞더라구요.

여름에 단독으로 착용하기 예쁜 디자인이에요",Free
34vnYeFL,상위 20%,24.11.29,그레이,,정사이즈예요,아주 만족해요,화면과 비슷해요,161.0,46,44,퀄리티가 아주 좋습니다 탄탄하고 부드러워요 목이 짧은 편이라 목 부분이 살짝 파인걸 좋아하는데 유교걸 입장에서 민소매인데 너무 파인게 싫었어요 목부분이 쇄골 아래만큼 올라와서 적당한 것 같아요 잘입겠습니다,Free
gusd*****,상위 15%,24.11.22,그레이,,정사이즈예요,보통이에요,화면과 비슷해요,169.0,53,55,"아 진짜 맘에 들어요🥹🥹
스파브랜드랑 퀄리티 비슷한 거 같아요 쫀쫀
부유방 가려주고 몸매 보정 돼여!
급하게 주문해야했는데 전날 밤 11시에 시키니까 다음날 오후 1시30분쯤 도착했네요ㅠ최고…
그레이 컬러도 넘 예뻐요",Free
Pn9idfHn,상위 5%,24.10.24,블랙,,정사이즈예요,아주 만족해요,화면과 비슷해요,,,,"여름에 이너로 입으려고 샀는데 퀄리티가 넘 좋아서 단독으로도 입고 다녔어요! 팔부분이 두꺼워서 속옷 끈도 안보이고 좋아요! 내년까지 입을 수 있을 거 같아요
다만 한 여름에 입기에는 좀 많이 덥긴 해요ㅠㅠ
검정색이라서 그런지 땀 흘리면 마지막 사진처럼 남는데 모르고 돌아다녔네요ㅜㅜ 조심하세요",Free
Etu5LZgK,상위 15%,24.10.13,크림베이지,,정사이즈예요,아주 만족해요,화면과 비슷해요,161.0,49,55,재질 보이시나요?? 완전 쫀쫀해요. 이번 여름 완전 교복템으로 입고 다녔어요!! 색상은 사진으로 보이듯이 완전 아이보리 그자체고요 부담스럽지 않았어요. 가을 겨울에도 레이어드해 입기 좋을 것 같아요!!,Free
이까미,탑리뷰어,24.10.07,블랙,,정사이즈예요,아주 만족해요,화면과 비슷해요,164.0,47,44,요기 나시 두번째 구매로써 솔직후기 남겨드리면 일단 초반에는 쫀쫀하고 부유방 다 가려줘용! 근데 좀 자주 입고 다니니까 부유방 가려주는게 좀 느슨해지고 전체적으로 쫀쫀 나시보다는 걍 헐렁헐렁 나시느낌? 근데 늘어짐도 그렇게 안 심하고 좋아서 그냥 휘뚜루마뚜루 다 입어요 굿굿,Free
FRdVcQaI,상위 5%,24.10.04,챠콜브라운,,정사이즈예요,아주 만족해요,화면과 비슷해요,160.0,54,44,"이번 여름 블랙과 크림을 구매해서 잘 입고 있는 중에 가을 맞이 컬러로 추가 구매했는데 여전히 쫀쫀하고 재질이 부드럽고 좋네요🙃
먼저 산 블랙과 크림도 여러번 세탁해도 쫀쫀함을 유지하고 있어 큰 불편함없이 잘 입고 있답니다😊",Free
