아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용,제품_사이즈
15g2GnFt,상위 1%,25.01.03,크림,,생각보다 커요,아주 만족해요,화면과 비슷해요,160,70,77,"너무 마음에 들어요 ! 그냥 후드집업이 아니라 폭닥폭닥 하니 제법 따셔요 

저는 후드살때 보는게 모자인데요 모자가 힘없이 축 쳐지는게 싫더라구여 
근데 이거는 모자가 제법 힘이 있어요! 쳐지지 않구요 딱 잡아줘요 
그리고 기모도 얆은기모 아니고 제법 두꺼워요 

77사이즈인 제가 입어도 품이 넉넉해요 
특히 팔 !! 팔이 길고 품이 넉넉해서 되게 편해요 
아랫배 톡튀인 제가 입어도 짧은크롭기장이 아니라 
딱예쁜 기장이네요 

회이트밖에 안남아서 선택사항없이 그냥 샀는데 너무 마음에들어요 !!!",Free
hioppekv,상위 5%,24.11.30,블랙,크림,생각보다 커요,아주 만족해요,화면과 비슷해요,168,59,55,"작년부터 살까말까 고민만 하다가 요번에 
블랙+그레이 사고 너무너무너무 맘에 들어서
블프특가로 블랙+크림으로 또 샀어요!! 
블랙을 거의 교복처럼 입어서 ㅋㅋㅋ 웬지 색이
금방 바랠거같아서 하나 더 샀고 
제가 원래 밝은색은 좀 부해보여서 절대 안사는데
내핑후드는 너무 여리해보여서 한번 사봤는데요.
아 진짜 핏 예술이예요 ㅜㅜ 최고최고
아직도 고민중인분들 
이거 세일할때 무조건 1+1로 사세요.
저 168 떡대있는편인데 무조건 여리핏 나와요.
체형 상관없이 추천합니다.",Free
8Xfclzbx,상위 10%,24.11.22,블랙,,정사이즈예요,아주 만족해요,화면과 비슷해요,155,49,44,"운동할 때 편히 입으려고 샀는데
박시한 크롭형이라 거슬리지 않고 딱 좋아요
무게감이 가벼운 편은 아닙니다
게다가 핏이 참 예쁩니다 부담스럽지도 않고!
그리고 따뜻해서 데일리로도 입기 좋아요~
야외 러닝할 때 반팔 위에 입었는데 전 딱 좋았습니다
근데 안쪽에 털이 아주 많이 묻어나긴 하네요..",Free
cji9***,상위 5%,24.11.20,멜란지그레이,크림,생각보다 커요,아주 만족해요,화면과 비슷해요,163,55,55,"운동복이랑도 같이 입고 출근할때도 편하게 입는 편이라 외투로 입는데 편하고 귀엽고 따듯하고 다 합니다 ㅎㅎ
원플원으로 사길 잘했어요~~그레이가 때탈 걱정 없어서 더 자주 입게되긴 해요.모자도 커서 좋아요",Free
7e**,,24.10.26,미드그린,아이리스오키드,생각보다 커요,아주 만족해요,화면과 비슷해요,163,51,55,"배송은 3일만에 왔어요 지난번에 오렌지컬러랑 화이트컬러 구매했는데 너무 마음에 들고 즐겨 입어서 이번에 미드그린(찐녹색), 아이리스오키드(찐보라) 컬러로 원플러스 원으로 구매했는데 품이 지난번 집업보다 크게 나왔어요
후드부터 허리 기장은 같은데 가로 품과 팔길이가 더 길어졌어요 그래도 잘 입을 거 같아요
번창하세요",Free
seoy*****,,24.10.15,크림,,정사이즈예요,아주 만족해요,화면과 비슷해요,167,57,55,"베이지도 아니고 정말 하얀 흰색이고 팔쪽 가오리 디자인이 여성스럽고 스타일쉬해보이게하네요. 
적당히 크롭이라 휘뚜루마뚜루 입고나가도 비율도 좋아보이고 마냥 큰 후드집업보다 이쁘네요. 안감도 요즘 저녁 날씨에 입기좋게 두툼해요. 아주 만족해요!! 은근 이쁜 후드집업 찾기어려운데 실용성 디자인 다 갖춘 듯",Free
xorx*****,상위 15%,24.12.22,블랙,,생각보다 커요,아주 만족해요,화면과 비슷해요,168,64,66,"살이 있는편인데도 체형잘가려지고 모자도 크고 어느정도핏이 살아잇어서 힙합니당ㅋ
기모도 부드럽고 촘촘해서 따숩고 너무기엽고 간절기에 진짜 잘입을거같아용ㅋ",Free
uZUWu2RJ,상위 10%,24.10.24,멜란지그레이,,정사이즈예요,아주 만족해요,화면과 비슷해요,159,49,44,"이거 진짜 너무 이쁘네요!!!!
핏도 예뿐 후드집업 찾고 있었는데 딱이에요!!@ 진짜 너무 이쁘고, 색상도 맘에 들어요 
직진배송이라 더 좋았어요ㅎㅎ 다른색더 또 구매하고시퍼용",Free
hDKF8brL,상위 5%,24.06.26,크림,,생각보다 커요,아주 만족해요,화면과 비슷해요,173,58,55,"아방한 핏이어서 귀엽고 
색도 웜쿨 가리지 않고 잘어울리는 예쁜 크림색이에요!!

크롭 기장이지만 부담스럽지 않고 적당한 길이감이고,
기모가 있어서 보들보들 따뜻해요~

올 초에 따뜻하게 잘 입고 다녔습니다 ㅎㅎ

제가 산 거 보고 예쁘다고 언니도 구매했어요🤭",Free
lxY1DKLJ,,24.04.13,크림,크림,생각보다 커요,아주 만족해요,화면과 비슷해요,170,53,55,환연2 나언님이 입고 나오셨을 때부터 반했었는데 이제야 구매했네욤 ... 🤍 생각보다 더 탄탄하고 마감도 깔끔해서 좋았습니다! 핏도 아방하니 귀엽고 제가 정말 팔이 긴 긴팔 원숭이인데도 팔이 남아서 그 점이 맘에 들었네요! ㅎㅎ 다른 색상도 담에 사보려구요!! 소매에 자수 색도 센스있게 화이트러버 맘에 쏙 ... 🤍,Free
